company,Griffon Corporation's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222333-griffon-corporations-gff-ceo-ron-kramer-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Griffon Corporation's (GFF) CEO Ron Kramer on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,GFF
year,18
