company,"DelMar Pharmaceuticals, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4223743-delmar-pharmaceuticals-inc-dmpi-ceo-saiid-zarrabian-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">DelMar Pharmaceuticals, Inc. (DMPI) CEO Saiid Zarrabian on Q1 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q1
symbol,DMPI
year,18
