company,Syncora Holdings Ltd.
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4222537-syncora-holdings-ltd-sycrf-ceo-fred-hnat-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Syncora Holdings Ltd. (SYCRF) CEO Fred Hnat on Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,SYCRF
year,18
