company,Ship Finance International Limited
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223630-ship-finance-international-limited-sfl-ceo-ole-hjertaker-q3-2018-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Ship Finance International Limited (SFL) CEO Ole Hjertaker on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SFL
year,18
