company,Aurora Mobile Limited
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4223734-aurora-mobile-limited-jg-ceo-weidong-luo-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Aurora Mobile Limited (JG) CEO Weidong Luo on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JG
year,18
