company,"SORL Auto Parts, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4223344-sorl-auto-parts-inc-sorl-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SORL Auto Parts, Inc. (SORL) Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SORL
year,18
