company,"Impinj, Inc."
symbol,PI
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215657-impinj-inc-pi-ceo-chris-diorio-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Impinj, Inc. (PI) CEO Chris Diorio on Q3 2018 Results - Earnings Call Transcript</a>"
