company,"Social Reality, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222334-social-reality-inc-srax-ceo-christopher-miglino-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Social Reality, Inc. (SRAX) CEO Christopher Miglino on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SRAX
year,18
