company,"Mitcham Industries, Inc."
symbol,MIND
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268727-mitcham-industries-inc-mind-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Mitcham Industries, Inc. (MIND) Q1 2020 Results - Earnings Call Transcript</a>"
