company,"Culp, Inc."
symbol,CULP
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270132-culp-inc-culp-ceo-frank-saxon-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Culp, Inc. (CULP) CEO Frank Saxon on Q4 2019 Results - Earnings Call Transcript</a>"
