company,Omnicom Group Inc.
symbol,OMC
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254792-omnicom-group-inc-omc-ceo-john-wren-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Omnicom Group Inc. (OMC) CEO John Wren on Q1 2019 Results - Earnings Call Transcript</a>"
