company,AxoGen's
symbol,AXGN
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215634-axogens-axgn-ceo-karen-zaderej-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">AxoGen's (AXGN) CEO Karen Zaderej on Q3 2018 Results - Earnings Call Transcript</a>"
