company,Sanmina Corp
symbol,SANM
month,10
day,29
year,18
quarter,Q4
link,"<a class=""dashboard-article-link"" href=""/article/4215661-sanmina-corp-sanm-ceo-michael-clarke-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sanmina Corp (SANM) CEO Michael Clarke on Q4 2018 Results - Earnings Call Transcript</a>"
