company,Zumiez Inc.
symbol,ZUMZ
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268920-zumiez-inc-zumz-ceo-rick-brooks-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Zumiez Inc. (ZUMZ) CEO Rick Brooks on Q1 2019 Results - Earnings Call Transcript</a>"
