company,Niu Technologies'
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223706-niu-technologies-niu-ceo-yan-li-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Niu Technologies' (NIU) CEO Yan Li on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NIU
year,18
