company,Teekay LNG Partners LP
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222657-teekay-lng-partners-lp-tgp-ceo-mark-kremin-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Teekay LNG Partners LP (TGP) CEO Mark Kremin on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,TGP
year,18
