company,"Chegg, Inc."
symbol,CHGG
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215654-chegg-inc-chgg-ceo-dan-rosensweig-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Chegg, Inc. (CHGG) CEO Dan Rosensweig on Q3 2018 Results - Earnings Call Transcript</a>"
