company,EDAP TMS S.A.'s
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222523-edap-tms-s-s-edap-ceo-marc-oczachowski-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">EDAP TMS S.A.'s (EDAP) CEO Marc Oczachowski on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,EDAP
year,18
