company,"Okta, Inc."
symbol,OKTA
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267449-okta-inc-okta-ceo-todd-mckinnon-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Okta, Inc. (OKTA) CEO Todd McKinnon on Q1 2020 Results - Earnings Call Transcript</a>"
