company,"Metro, Inc."
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223972-metro-inc-mtraf-ceo-eric-la-fleche-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Metro, Inc. (MTRAF) CEO Eric La Flèche on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,MTRAF
year,18
