company,Steelcase Inc.
symbol,SCS
month,6
day,19
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271418-steelcase-inc-scs-ceo-jim-keane-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Steelcase Inc. (SCS) CEO Jim Keane on Q1 2020 Results - Earnings Call Transcript</a>"
