company,"SolarWinds, Inc."
day,13
link,"<a class=""dashboard-article-link"" href=""/article/4222365-solarwinds-inc-swi-ceo-kevin-thompson-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SolarWinds, Inc. (SWI) CEO Kevin Thompson on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SWI
year,18
