company,Cubic Corporation
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222605-cubic-corporation-cub-ceo-brad-feldmann-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cubic Corporation (CUB) CEO Brad Feldmann on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,CUB
year,18
