company,Lions Gate Entertainment Corp.
symbol,LGF.A
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266256-lions-gate-entertainment-corp-lgf-ceo-jon-feltheimer-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lions Gate Entertainment Corp. (LGF.A) CEO Jon Feltheimer on Q4 2019 Results - Earnings Call Transcript</a>"
