company,The Buckle's
symbol,BKE
month,5
day,24
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266382-buckles-bke-ceo-dennis-nelson-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">The Buckle's (BKE) CEO Dennis Nelson on Q1 2019 Results - Earnings Call Transcript</a>"
