company,"Milestone Scientific, Inc."
day,15
link,"<a class=""dashboard-article-link"" href=""/article/4223926-milestone-scientific-inc-mlss-ceo-leonard-osser-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Milestone Scientific, Inc. (MLSS) CEO Leonard Osser on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,MLSS
year,18
