company,Deckers Outdoor Corporation's
symbol,DECK
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266247-deckers-outdoor-corporations-deck-ceo-dave-powers-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Deckers Outdoor Corporation's (DECK) CEO Dave Powers on Q4 2019 Results - Earnings Call Transcript</a>"
