type,name
Executives,Christina Coronios - Director of Investor Relations
Executives,"John D. Idol - Chairman, CEO and Director"
Executives,"Thomas J. Edwards, Jr. - EVP, CFO, COO and Treasurer"
Analysts,Oliver Chen - Cowen & Co. LLC
Analysts,Simeon Siegel - Nomura/Instinet
Analysts,Kimberly Greenberger - Morgan Stanley & Co.
Analysts,Omar Saad - Evercore Group LLC
Analysts,Paul Trussell - Deutsche Bank AG
Analysts,Michael Binetti - Credit Suisse AG
