company,"Electronics for Imaging, Inc."
symbol,EFII
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215651-electronics-imaging-inc-efii-ceo-bill-muir-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Electronics for Imaging, Inc. (EFII) CEO Bill Muir on Q3 2018 Results - Earnings Call Transcript</a>"
