type,name
Executives,Yiding Sun – Chief Executive Officer
Executives,Jack Wang – Senior Associate of ICR
Executives,Jiandong Lu – Chief Operating Officer
Executives,Chelsea Wang – Chief Financial Officer
Analysts,Nicky Ge – China Renaissance
Analysts,Alex Xie – Credit Suisse
Analysts,Felix Liu – UBS
Analysts,Sheng Zhong – Morgan Stanley
