company,RISE Education Cayman's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222872-rise-education-caymans-redu-ceo-yiding-sun-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">RISE Education Cayman's (REDU) CEO Yiding Sun on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,REDU
year,18
