company,Goldmoney Inc.
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222683-goldmoney-inc-xaumf-ceo-roy-sebag-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Goldmoney Inc. (XAUMF) CEO Roy Sebag on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,XAUMF
year,18
