type,name
Executives,"Chad Burkhardt - VP, General Counsel & Corporate Secretary"
Executives,Malone Mitchell - Chairman & CEO
Executives,"Fabian Anda - Principal Accounting & Financial Officer and VP, Finance"
Analysts,Chen Lin - Lin Asset Management
Analysts,Paul Troiano - Scarsdale Equity
