company,Focus Financial Partners
day,12
link,"<a class=""dashboard-article-link"" href=""/article/4222351-focus-financial-partners-focs-ceo-rudy-adolf-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Focus Financial Partners (FOCS) CEO Rudy Adolf on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,FOCS
year,18
