company,Duluth Holdings Inc.'s
symbol,DLTH
month,6
day,13
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270094-duluth-holdings-inc-s-dlth-ceo-stephanie-pugliese-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Duluth Holdings Inc.'s (DLTH) CEO Stephanie Pugliese on Q1 2019 Results - Earnings Call Transcript</a>"
