company,Celsion Corporation
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222595-celsion-corporation-clsn-ceo-michael-tardugno-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Celsion Corporation (CLSN) CEO Michael Tardugno on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,CLSN
year,18
