company,"Build-A-Bear Workshop, Inc."
symbol,BBW
month,5
day,31
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267682-build-bear-workshop-inc-bbw-ceo-sharon-price-john-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Build-A-Bear Workshop, Inc. (BBW) CEO Sharon Price John on Q1 2019 Results - Earnings Call Transcript</a>"
