company,Graham Corporation's
symbol,GHM
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267396-graham-corporations-ghm-ceo-jim-lines-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Graham Corporation's (GHM) CEO Jim Lines on Q4 2019 Results - Earnings Call Transcript</a>"
