company,Elevate Credit's
symbol,ELVT
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215665-elevate-credits-elvt-ceo-ken-rees-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Elevate Credit's (ELVT) CEO Ken Rees on Q3 2018 Results - Earnings Call Transcript</a>"
