company,FactSet Research Systems Inc.
symbol,FDS
month,6
day,25
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272082-factset-research-systems-inc-fds-ceo-phil-snow-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">FactSet Research Systems Inc. (FDS) CEO Phil Snow on Q3 2019 Results - Earnings Call Transcript</a>"
