company,"Autodesk, Inc."
symbol,ADSK
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266259-autodesk-inc-adsk-ceo-andrew-anagnost-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Autodesk, Inc. (ADSK) CEO Andrew Anagnost on Q1 2020 Results - Earnings Call Transcript</a>"
