company,"Tarena International, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223412-tarena-international-inc-tedu-ceo-shaoyun-han-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Tarena International, Inc. (TEDU) CEO Shaoyun Han on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,TEDU
year,18
