company,LAIX Inc.
symbol,LAIX
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266768-laix-inc-laix-ceo-yi-wang-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">LAIX Inc. (LAIX) CEO Yi Wang on Q1 2019 Results - Earnings Call Transcript</a>"
