company,Kansas City Southern's
symbol,KSU
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255027-kansas-city-southerns-ksu-ceo-pat-ottensmeyer-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Kansas City Southern's (KSU) CEO Pat Ottensmeyer on Q1 2019 Results - Earnings Call Transcript</a>"
