company,"JinkoSolar Holding Co., Ltd."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4224584-jinkosolar-holding-co-ltd-jks-ceo-kangping-chen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">JinkoSolar Holding Co., Ltd. (JKS) CEO Kangping Chen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JKS
year,18
