company,Designer Brands Inc.
symbol,DBI
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267378-designer-brands-inc-dbi-ceo-roger-rawlins-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Designer Brands Inc. (DBI) CEO Roger Rawlins on Q1 2019 Results - Earnings Call Transcript</a>"
