company,Eltek Ltd.
symbol,ELTK
link,"<a class=""dashboard-article-link"" href=""/article/4254947-eltek-ltd-eltk-ceo-eli-yaffe-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Eltek Ltd. (ELTK) CEO, Eli Yaffe on Q4 2018 Results - Earnings Call Transcript</a>"
