company,"iAnthus Capital Holdings, Inc."
symbol,ITHUF
month,5
day,30
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267640-ianthus-capital-holdings-inc-ithuf-ceo-hadley-ford-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">iAnthus Capital Holdings, Inc. (ITHUF) CEO Hadley Ford on Q1 2019 Results - Earnings Call Transcript</a>"
