company,"Express, Inc."
symbol,EXPR
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267321-express-inc-expr-ceo-matt-moellering-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Express, Inc. (EXPR) CEO Matt Moellering on Q1 2019 Results - Earnings Call Transcript</a>"
