company,Prometic Life Sciences Inc.
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222583-prometic-life-sciences-inc-pfscf-ceo-pierre-laurin-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Prometic Life Sciences Inc. (PFSCF) CEO Pierre Laurin On Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,PFSCF
year,18
