company,"Orion Energy Systems, Inc."
symbol,OESX
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268230-orion-energy-systems-inc-oesx-ceo-mike-altschaefl-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Orion Energy Systems, Inc. (OESX) CEO Mike Altschaefl on Q4 2019 Results - Earnings Call Transcript</a>"
