company,Youngevity International's
symbol,YGYI
month,4
day,15
year,19
quarter,Q4
link,"<a class=""dashboard-article-link"" href=""/article/4254806-youngevity-internationals-ygyi-ceo-steve-wallach-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Youngevity International's (YGYI) CEO Steve Wallach on Q4 2018 Results - Earnings Call Transcript</a>"
