company,Cellcom Israel Ltd.
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4224116-cellcom-israel-ltd-cel-ceo-nir-sztern-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Cellcom Israel Ltd. (CEL) CEO Nir Sztern on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,CEL
year,18
