company,Quotient Limited
symbol,QTNT
month,5
day,28
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266794-quotient-limited-qtnt-ceo-franz-walt-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Quotient Limited (QTNT) CEO Franz Walt on Q4 2019 Results - Earnings Call Transcript</a>"
