company,DXC Technology Company
symbol,DXC
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266253-dxc-technology-company-dxc-ceo-mike-lawrie-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">DXC Technology Company (DXC) CEO Mike Lawrie on Q4 2019 Results - Earnings Call Transcript</a>"
