company,"Darden Restaurants, Inc."
symbol,DRI
month,6
day,20
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271296-darden-restaurants-inc-dri-ceo-gene-lee-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Darden Restaurants, Inc. (DRI) CEO Gene Lee on Q4 2019 Results - Earnings Call Transcript</a>"
