company,Partner Communications Company Ltd
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223903-partner-communications-company-ltd-ptnr-ceo-isaac-benbenisti-q3-2018-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Partner Communications Company Ltd (PTNR) CEO Isaac Benbenisti on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,PTNR
year,18
