company,Tiffany & Co
symbol,TIF
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268204-tiffany-and-co-tif-ceo-alessandro-bogliolo-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Tiffany &amp; Co (TIF) CEO Alessandro Bogliolo on Q1 2019 Results - Earnings Call Transcript</a>"
