company,"Oxford Industries, Inc."
symbol,OXM
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269994-oxford-industries-inc-oxm-ceo-tom-chubb-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Oxford Industries, Inc. (OXM) CEO Tom Chubb on Q1 2019 Results - Earnings Call Transcript</a>"
