company,"Urban Outfitters, Inc"
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223375-urban-outfitters-inc-urbn-ceo-richard-hayne-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Urban Outfitters, Inc (URBN) CEO Richard Hayne on Q3 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,URBN
year,18
