company,TriNet Group's
symbol,TNET
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215649-trinet-groups-tnet-ceo-burton-m-goldfield-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">TriNet Group's (TNET) CEO Burton M. Goldfield on Q3 2018 Results - Earnings Call Transcript</a>"
