company,Marvell Technology Group Ltd.
symbol,MRVL
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267461-marvell-technology-group-ltd-mrvl-ceo-matt-murphy-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Marvell Technology Group Ltd. (MRVL) CEO Matt Murphy on Q1 2020 Results - Earnings Call Transcript</a>"
