company,"Vera Bradley, Inc."
symbol,VRA
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268476-vera-bradley-inc-vra-ceo-robert-wallstrom-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Vera Bradley, Inc. (VRA) CEO Robert Wallstrom on Q1 2020 Results - Earnings Call Transcript</a>"
