company,Leagold Mining Corporation
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222584-leagold-mining-corporation-lmcnf-ceo-neil-woodyer-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Leagold Mining Corporation (LMCNF) CEO Neil Woodyer on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,LMCNF
year,18
